Region,1-8 Aug,1-8 Aug,1-8 Aug,1-8 Aug,9-16 Aug,9-16 Aug,9-16 Aug,9-16 Aug,17-24 Aug,17-24 Aug,17-24 Aug,17-24 Aug,25-31 Aug,25-31 Aug,25-31 Aug,25-31 Aug,1-8 Dec,1-8 Dec,1-8 Dec,1-8 Dec,9-16 Dec,9-16 Dec,9-16 Dec,9-16 Dec,17-24 Dec,17-24 Dec,17-24 Dec,17-24 Dec,25-31 Dec,25-31 Dec,25-31 Dec,25-31 Dec,1-8 Apr,1-8 Apr,1-8 Apr,1-8 Apr,9-15 Apr,9-15 Apr,9-15 Apr,9-15 Apr,16-23 Apr,16-23 Apr,16-23 Apr,16-23 Apr,24-30 Apr,24-30 Apr,24-30 Apr,24-30 Apr
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,23.4k,23.4k,,,138k,138k,,,8.39G,27.0k,329k,,3.86k,3.86k,,,20.8k,20.8k,,,33.4k,33.4k,,,28.7k,28.7k,,,,,,,,,,,886,,886,,,,,,,,,
Andhra Pradesh,,,,,,,,,151,,,151,10.1k,,,10.1k,,,,,,,,,,,,,,,,,4.98k,,,4.98k,,,,,,,,,,,,
Arunachal Pradesh,109k,109k,,,21.0k,21.0k,,,15.8G,63.5k,275k,,26.1k,26.1k,,,131k,131k,,,8.73k,8.73k,,,192k,192k,,,212k,212k,,,,,,,47.6k,47.6k,,,48.2k,48.2k,,,190k,190k,,
Assam,613,613,,,,,,,62.0k,,62.0k,,,,,,,,,,,,,,,,,,,,,,224,,224,,,,,,181k,181k,,,,,,
Bihar,,,,,,,,,41.9k,,41.9k,,,,,,,,,,,,,,,,,,,,,,477,,477,,220,,220,,,,,,,,,
Chandigarh,,,,,,,,,148k,,148k,,,,,,,,,,,,,,,,,,,,,,89.4k,,89.4k,,,,,,,,,,,,,
Chhattisgarh,,,,,,,,,123k,,123k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,207,207,,,,,,,262k,,262k,,,,,,,,,,,,,,,,,,,,,,152M,507k,299,,2.81k,2.48k,330,,11.9k,,11.9k,,,,,
Daman and Diu,,,,,,,,,48.2k,,48.2k,,476,476,,,,,,,,,,,,,,,,,,,36.9M,494k,1.29k,,,,,,60.7k,60.7k,,,,,,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9k,,18.9k,,,,,,,,,,,,,
Goa,,,,,,,,,294k,,294k,,,,,,,,,,,,,,,,,,,,,,269M,575k,467,,284,,284,,,,,,,,,
Gujarat,,,,,,,,,31.5k,,31.5k,,,,,,,,,,,,,,,,,,,,,,,,,,183,,183,,,,,,5.05,,5.05,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,88.2k,,88.2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,693,693,,,,,,,30.3k,,30.3k,,,,,,,,,,,,,,,,,,,,,,464,,464,,,,,,,,,,,,,
Jharkhand,2.34k,2.34k,,,,,,,31.5G,183k,172k,,,,,,870,870,,,7.71k,7.71k,,,,,,,,,,,73.1M,508k,215,,,,,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,5.09k,,5.09k,,,,,,,,,,,,,,,,,,,,,
Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,,479,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,260,,,,,,,,,,,,,
Maharashtra,,,,,29.5,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,870,870,,,15.4k,15.4k,,,,,,,,,,,,,,,,,,,,,,,,,,,597k,597k,,,101k,101k,,,20.6k,20.6k,,,,,,
Meghalaya,1.06k,1.06k,,,153k,153k,,,11.3k,,11.3k,,,,,,,,,,141k,,141k,,,,,,,,,,503k,503k,,,201,,201,,21.9k,21.9k,,,,,,
Mizoram,3.29k,3.29k,,,30.7k,30.7k,,,8.89M,478,18.6k,,,,,,13.6k,13.6k,,,,,,,412,412,,,,,,,420k,420k,,,,,,,47.5k,47.5k,,,,,,
Nagaland,,,,,,,,,271k,,271k,,,,,,,,,,,,,,,,,,,,,,587k,587k,,,,,,,,,,,,,,
Orissa,102k,,,102k,,,,,119k,,119k,,,,,,155,,,155,,,,,,,,,,,,,289G,531k,,544k,156k,,,156k,88.5k,,,88.5k,16.5k,,,16.5k
Puducherry,,,,,,,,,281k,,281k,,874,874,,,,,,,,,,,,,,,,,,,585k,585k,,,565,,565,,,,,,,,,
Punjab,,,,,,,,,163k,,163k,,,,,,,,,,,,,,,,,,,,,,5.79k,,5.79k,,,,,,,,,,,,,
Rajasthan,,,,,,,,,77.9k,,77.9k,,,,,,,,,,,,,,,,,,,,,,11.7k,,11.7k,,,,,,,,,,,,,
Sikkim,11.5k,11.5k,,,177k,177k,,,737M,2.63k,280k,,12.9k,12.9k,,,,,,,2.67k,2.67k,,,3.89k,3.89k,,,,,,,181G,521k,348k,,36.3k,36.3k,,,229k,229k,,,,,,
Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,13.0k,,13.0k,,,,,,,,,,,,,,,,,,,,,
Tripura,2.46k,2.46k,,,177k,12.0k,165k,,270k,,270k,,,,,,,,,,,,,,,,,,,,,,596k,596k,,,2.47k,2.33k,142,,30.1k,30.1k,,,,,,
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
Uttaranchal,,,,,,,,,64.8k,,64.8k,,,,,,,,,,,,,,,,,,,,,,138M,510k,325,,,,,,,,,,,,,
West Bengal,3.62M,1.45k,,42.2k,25.6k,,,25.6k,58.2k,,,58.2k,121k,,,121k,,,,,,,,,,,,,,,,,25.9G,,50.4k,514k,216k,,,216k,56.8k,,,56.8k,,,,
[Unknown Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520k,520k,,,,,,,,,,,,,,
