Region,1 Oct 2016,1 Oct 2016,1 Oct 2016,1 Oct 2016,2 Oct 2016,2 Oct 2016,2 Oct 2016,2 Oct 2016,3 Oct 2016,3 Oct 2016,3 Oct 2016,3 Oct 2016,4 Oct 2016,4 Oct 2016,4 Oct 2016,4 Oct 2016,5 Oct 2016,5 Oct 2016,5 Oct 2016,5 Oct 2016,6 Oct 2016,6 Oct 2016,6 Oct 2016,6 Oct 2016,7 Oct 2016,7 Oct 2016,7 Oct 2016,7 Oct 2016,8 Oct 2016,8 Oct 2016,8 Oct 2016,8 Oct 2016,9 Oct 2016,9 Oct 2016,9 Oct 2016,9 Oct 2016,10 Oct 2016,10 Oct 2016,10 Oct 2016,10 Oct 2016,11 Oct 2016,11 Oct 2016,11 Oct 2016,11 Oct 2016,12 Oct 2016,12 Oct 2016,12 Oct 2016,12 Oct 2016,13 Oct 2016,13 Oct 2016,13 Oct 2016,13 Oct 2016,14 Oct 2016,14 Oct 2016,14 Oct 2016,14 Oct 2016,15 Oct 2016,15 Oct 2016,15 Oct 2016,15 Oct 2016,16 Oct 2016,16 Oct 2016,16 Oct 2016,16 Oct 2016,17 Oct 2016,17 Oct 2016,17 Oct 2016,17 Oct 2016,18 Oct 2016,18 Oct 2016,18 Oct 2016,18 Oct 2016,19 Oct 2016,19 Oct 2016,19 Oct 2016,19 Oct 2016,20 Oct 2016,20 Oct 2016,20 Oct 2016,20 Oct 2016,21 Oct 2016,21 Oct 2016,21 Oct 2016,21 Oct 2016,22 Oct 2016,22 Oct 2016,22 Oct 2016,22 Oct 2016,23 Oct 2016,23 Oct 2016,23 Oct 2016,23 Oct 2016,24 Oct 2016,24 Oct 2016,24 Oct 2016,24 Oct 2016,25 Oct 2016,25 Oct 2016,25 Oct 2016,25 Oct 2016,26 Oct 2016,26 Oct 2016,26 Oct 2016,26 Oct 2016,27 Oct 2016,27 Oct 2016,27 Oct 2016,27 Oct 2016,28 Oct 2016,28 Oct 2016,28 Oct 2016,28 Oct 2016,29 Oct 2016,29 Oct 2016,29 Oct 2016,29 Oct 2016,30 Oct 2016,30 Oct 2016,30 Oct 2016,30 Oct 2016,31 Oct 2016,31 Oct 2016,31 Oct 2016,31 Oct 2016
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,2.44k,,2.44k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,,,,,,,,,,,,,,,,,,,,,681,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,857,,,643,643,,,,,,,,,,,,,,,429,429,,,214,214,,,1.07k,1.07k,,,1.07k,1.07k,,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45k,,,1.45k,,,,,,,,,,,,,,,,,,,,
Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,682,,,,,,,,,,,,,,,,,206,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,162,,,,,,,,,,,,,,,,,
Gujarat,312,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07k,,,1.07k,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44k,,,1.44k,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39k,1.39k,,,,,,,6.61k,6.61k,,,30.7k,30.7k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,907,,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,2.72k,,,2.72k,,,,,,,,,,,,,,,,,288k,2.10k,200,,,,,,,,,,,,,,,,,,,,,,1.32k,,1.32k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21k,2.21k,,,,,,,,,,,,,,,,,,,,,,,319,,,319,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,,,,,,,,,,2.27k,,2.27k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,,,702,,,,,,,,,,,,,,,,,,,,
Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,873,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,,,,,,,,,,,,,,,,,,,,,573,,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21k,,,1.21k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,,,,,,,,,,,,,,,,,,,,,226,,226,,,,,,,,,,428,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,309,,,309,,,,,,,,,,,,,,,,,520,,520,,,,,,,,,,,,,,,,,,,,,,3.49k,,3.49k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08k,,,1.08k,,,,,,,,,,,,,,,,,,,,
Sikkim,226,226,,,226,226,,,226,226,,,452,452,,,,,,,226,226,,,677,677,,,742,742,,,700,700,,,854,854,,,1.14k,1.14k,,,,,,,,,,,,,,,,,,,,,,,1.41k,,1.41k,,,,,,,,,,459,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,226,,,452,452,,
Tamil Nadu,306,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23k,7.23k,,,,,,,6.89k,6.89k,,,6.47k,6.47k,,,6.32k,6.32k,,,3.85k,3.85k,,,,,,,,,,,,,,,,,,,308,,,308,,,,,,,,,,,,,,,,,,,,
Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,275,,,,,,,,,,,,,,,,,,,,
Uttaranchal,,,,,,,,,,,,,,,,,,,,,,,,,908,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81k,2.81k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Unknown Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
