Region,1 Jan,1 Jan,1 Jan,1 Jan,2 Jan,2 Jan,2 Jan,2 Jan,3 Jan,3 Jan,3 Jan,3 Jan,4 Jan,4 Jan,4 Jan,4 Jan,5 Jan,5 Jan,5 Jan,5 Jan,6 Jan,6 Jan,6 Jan,6 Jan,7 Jan,7 Jan,7 Jan,7 Jan,8 Jan,8 Jan,8 Jan,8 Jan,9 Jan,9 Jan,9 Jan,9 Jan,10 Jan,10 Jan,10 Jan,10 Jan,11 Jan,11 Jan,11 Jan,11 Jan,12 Jan,12 Jan,12 Jan,12 Jan,13 Jan,13 Jan,13 Jan,13 Jan,14 Jan,14 Jan,14 Jan,14 Jan,15 Jan,15 Jan,15 Jan,15 Jan,16 Jan,16 Jan,16 Jan,16 Jan,17 Jan,17 Jan,17 Jan,17 Jan,18 Jan,18 Jan,18 Jan,18 Jan,19 Jan,19 Jan,19 Jan,19 Jan,20 Jan,20 Jan,20 Jan,20 Jan,21 Jan,21 Jan,21 Jan,21 Jan,22 Jan,22 Jan,22 Jan,22 Jan,23 Jan,23 Jan,23 Jan,23 Jan,24 Jan,24 Jan,24 Jan,24 Jan,25 Jan,25 Jan,25 Jan,25 Jan,26 Jan,26 Jan,26 Jan,26 Jan,27 Jan,27 Jan,27 Jan,27 Jan,28 Jan,28 Jan,28 Jan,28 Jan,29 Jan,29 Jan,29 Jan,29 Jan,30 Jan,30 Jan,30 Jan,30 Jan,31 Jan,31 Jan,31 Jan,31 Jan
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Daman and Diu,163,,163,,19.2,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,432,105,,216,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,424,34.5,,,,,,,,,,,,,,,,,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,,,,,,,,,,,,,,,,,975,975,,,,,,,,,,,,,,,,,,,13.2,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,,74.6,,,,,,,,,,,,,,,,,,19.7,,19.7,,,,,,,,,,,,,,,,,
Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23k,,1.23k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,743,,264,,264,,,,,,,,,,,,,,,,,,245,,245,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,41.5,,,,,,,,,,,,,,,,,,,,,,174,,174,,,,,,,,,,,,,,,,,,,,,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,39.5,,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,,,,,,,,,107,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,205,,,,,,,,,,,,,,,,,,
Meghalaya,,,,,,,,,34.1,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,68.5,,3.23k,,3.23k,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,,,,,644,,644,,346,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,,,,,,,,,,,,,,,,,,,,,58.1,,58.1,,,,,,,,,,,,,
Nagaland,242,,242,,352,,352,,65.9,,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,,637,,1.04k,,1.04k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orissa,,,,,168,,168,,205,,205,,,,,,,,,,,,,,,,,,,,,,,,,,117,,117,,,,,,,,,,,,,,58.3,,58.3,,74.3,,74.3,,,,,,,,,,67.8,,67.8,,,,,,40.9,,40.9,,917,,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,600,,,,,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,37.9,,,,,,,,,,42.7,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,,,,,60.6,,60.6,,80.8,,80.8,,,,,,,,,,,,,,409,409,,,,,,,,,,,,,,,2.06k,,2.06k,,,,,,2.26k,,2.26k,,,,,,,,,,,,,,225,225,,,330,,330,,,,,,,,,,,,,,,,,,,,,,,,,,3.41k,,3.41k,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,424,,158,,158,,,,,,,,,,,,,,,,,,139,,139,,,,,,,,,,,,,,,,,
Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttaranchal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Unknown Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
